Beta (v/c)	 Gamma 
0.0513		 1.00132 
0.0514		 1.00132 
0.0515		 1.00133 
0.0516		 1.00133 
0.0517		 1.00134 
0.0518		 1.00134 
0.0519		 1.00135 
0.052		 1.00135 
0.0521		 1.00136 
0.0522		 1.00137 
0.0523		 1.00137 
0.0524		 1.00138 
0.0525		 1.00138 
0.0526		 1.00139 
0.0527		 1.00139 
0.0528		 1.0014 
0.0529		 1.0014 
0.053		 1.00141 
0.0531		 1.00141 
0.0532		 1.00142 
0.0533		 1.00142 
0.0534		 1.00143 
0.0535		 1.00143 
0.0536		 1.00144 
0.0537		 1.00144 
0.0538		 1.00145 
0.0539		 1.00146 
0.054		 1.00146 
0.0541		 1.00147 
0.0542		 1.00147 
0.0543		 1.00148 
0.0544		 1.00148 
0.0545		 1.00149 
0.0546		 1.00149 
0.0547		 1.0015 
0.0548		 1.0015 
0.0549		 1.00151 
0.055		 1.00152 
0.0551		 1.00152 
0.0552		 1.00153 
0.0553		 1.00153 
0.0554		 1.00154 
0.0555		 1.00154 
0.0556		 1.00155 
0.0557		 1.00155 
0.0558		 1.00156 
0.0559		 1.00157 
0.056		 1.00157 
0.0561		 1.00158 
0.0562		 1.00158 
0.0563		 1.00159 
0.0564		 1.00159 
0.0565		 1.0016 
0.0566		 1.00161 
0.0567		 1.00161 
0.0568		 1.00162 
0.0569		 1.00162 
0.057		 1.00163 
0.0571		 1.00163 
0.0572		 1.00164 
0.0573		 1.00165 
0.0574		 1.00165 
0.0575		 1.00166 
0.0576		 1.00166 
0.0577		 1.00167 
0.0578		 1.00167 
0.0579		 1.00168 
0.058		 1.00169 
0.0581		 1.00169 
0.0582		 1.0017 
0.0583		 1.0017 
0.0584		 1.00171 
0.0585		 1.00172 
0.0586		 1.00172 
0.0587		 1.00173 
0.0588		 1.00173 
0.0589		 1.00174 
0.059		 1.00175 
0.0591		 1.00175 
0.0592		 1.00176 
0.0593		 1.00176 
0.0594		 1.00177 
0.0595		 1.00177 
0.0596		 1.00178 
0.0597		 1.00179 
0.0598		 1.00179 
0.0599		 1.0018 
0.06		 1.0018 
0.0601		 1.00181 
0.0602		 1.00182 
0.0603		 1.00182 
0.0604		 1.00183 
0.0605		 1.00184 
0.0606		 1.00184 
0.0607		 1.00185 
0.0608		 1.00185 
0.0609		 1.00186 
0.061		 1.00187 
0.0611		 1.00187 
0.0612		 1.00188 
0.0613		 1.00188 
0.0614		 1.00189 
0.0615		 1.0019 
0.0616		 1.0019 
0.0617		 1.00191 
0.0618		 1.00192 
0.0619		 1.00192 
0.062		 1.00193 
0.0621		 1.00193 
0.0622		 1.00194 
0.0623		 1.00195 
0.0624		 1.00195 
0.0625		 1.00196 
0.0626		 1.00197 
0.0627		 1.00197 
0.0628		 1.00198 
0.0629		 1.00198 
0.063		 1.00199 
0.0631		 1.002 
0.0632		 1.002 
0.0633		 1.00201 
0.0634		 1.00202 
0.0635		 1.00202 
0.0636		 1.00203 
0.0637		 1.00204 
0.0638		 1.00204 
0.0639		 1.00205 
0.064		 1.00205 
0.0641		 1.00206 
0.0642		 1.00207 
0.0643		 1.00207 
0.0644		 1.00208 
0.0645		 1.00209 
0.0646		 1.00209 
0.0647		 1.0021 
0.0648		 1.00211 
0.0649		 1.00211 
0.065		 1.00212 
0.0651		 1.00213 
0.0652		 1.00213 
0.0653		 1.00214 
0.0654		 1.00215 
0.0655		 1.00215 
0.0656		 1.00216 
0.0657		 1.00217 
0.0658		 1.00217 
0.0659		 1.00218 
0.066		 1.00219 
0.0661		 1.00219 
0.0662		 1.0022 
0.0663		 1.00221 
0.0664		 1.00221 
0.0665		 1.00222 
0.0666		 1.00223 
0.0667		 1.00223 
0.0668		 1.00224 
0.0669		 1.00225 
0.067		 1.00225 
0.0671		 1.00226 
0.0672		 1.00227 
0.0673		 1.00227 
0.0674		 1.00228 
0.0675		 1.00229 
0.0676		 1.00229 
0.0677		 1.0023 
0.0678		 1.00231 
0.0679		 1.00231 
0.068		 1.00232 
0.0681		 1.00233 
0.0682		 1.00233 
0.0683		 1.00234 
0.0684		 1.00235 
0.0685		 1.00235 
0.0686		 1.00236 
0.0687		 1.00237 
0.0688		 1.00238 
0.0689		 1.00238 
0.069		 1.00239 
0.0691		 1.0024 
0.0692		 1.0024 
0.0693		 1.00241 
0.0694		 1.00242 
0.0695		 1.00242 
0.0696		 1.00243 
0.0697		 1.00244 
0.0698		 1.00244 
0.0699		 1.00245 
0.07		 1.00246 
0.0701		 1.00247 
0.0702		 1.00247 
0.0703		 1.00248 
0.0704		 1.00249 
0.0705		 1.00249 
