JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2456355.040112,16.84,0.02,,B,NLX,,Ensemble,144,10401FZM,""" 	Mag median sum 4x120s, ap 6/24/34 1px=1.1&quot; """,0,1.01,Z,,15.06,,SN 2013E,AAVSO,STD,,,,
2456355.046631,15.83,0.03,,V,NLX,,Ensemble,144,10401FZM,""" 	Mag ave 3 measures, ap 6/24/34 1px=1.1&quot; """,0,1.01,Z,,14.44,,SN 2013E,AAVSO,STD,,,,
2456355.95832,17.00,0.05,,B,NLX,,Ensemble,144,10401FZM," 	Mag median sum 5x120s ",0,1.16,Z,,15.07,,SN 2013E,AAVSO,STD,,,,
2456355.965581,15.82,0.05,,V,NLX,,Ensemble,144,10401FZM," 	Mags ave 3 measures ",0,1.13,Z,,14.44,,SN 2013E,AAVSO,STD,,,,
2456356.195822,16.067,0.060,,V,HKEB,,ENSEMBLE,000-BKV-513,10403OWK,477,1,1.229,Z,,13.314,,SN 2013E,AAVSO,STD,,,,
2456358.984272,17.0,0.2,,B,NLX,,Ensemble,144,10401FZM," 	Mags ave 3 measures  	Ap 6/24/34 1px=1.1&quot; ",0,1.06,Z,,15.05,,SN 2013E,AAVSO,STD,,,,
2456358.990815,15.88,0.05,,V,NLX,,Ensemble,144,10401FZM," 	Mags ave 3 measures. Ap 6/24/36 1px=1.1&quot; ",0,1.05,Z,,14.43,,PSN J10000552-3414013,AAVSO,STD,,,,
2456359.086643,16.030,0.057,,V,HKEB,,ENSEMBLE,000-BKV-513,10403OWK,477,1,1.005,Z,,13.229,,SN 2013E,AAVSO,STD,,,,
2456360.089516,16.76,0.09,,B,NLX,,Ensemble,144,10401FZM," 	Mag median sum 3x120s ",0,1.02,Z,,15.06,,SN 2013E,AAVSO,STD,,,,
2456360.095933,15.91,0.04,,V,NLX,,Ensemble,144,10401FZM," 	Mags av 3 measures ",0,1.03,Z,,14.43,,SN 2013E,AAVSO,STD,,,,
2456361.188530,16.078,0.094,,V,HKEB,,ENSEMBLE,000-BKV-513,10403OWK,477,1,1.259,Z,,13.306,,SN 2013E,AAVSO,STD,,,,
2456361.52440,16.4,,,TG,TYS,,164,,10401GDM,,,,Z,,,,SN 2013E,AAVSO,STD,,,,
2456362.091478,16.91,0.05,,B,NLX,,Ensemble,144,10401FZM," 	Mag mean sum 4x120s ",0,1.03,Z,,15.07,,SN 2013E,AAVSO,STD,,,,
2456362.098512,15.98,0.04,,V,NLX,,Ensemble,144,10401FZM," 	Mags ave 3 measures ",0,1.04,Z,,14.44,,SN 2013E,AAVSO,STD,,,,
2456363.045689,16.89,0.05,,B,NLX,,Ensemble,144,10401FZM," 	Mag median sum 4x120s. Ap 6/24/34 1px=1.1&quot; ",0,1.00,Z,,15.05,,SN 2013E,AAVSO,STD,,,,
2456363.052947,16.01,0.05,,V,NLX,,Ensemble,144,10401FZM,""" 	Mags ave 3 measures, Ap 6/24/34 1px=1.1&quot; """,0,1.00,Z,,14.43,,SN 2013E,AAVSO,STD,,,,
2456363.162639,16.103,0.085,,V,HKEB,,ENSEMBLE,000-BKV-513,10403OWK,477,1,1.172,Z,,13.263,,SN 2013E,AAVSO,STD,,,,
2456364.915100,17.03,0.05,,B,NLX,,Ensemble,144,10401FZM," 	Mag median sum 5x120s ",0,1.23,Z,,15.08,,SN 2013E,AAVSO,STD,,,,
2456364.922432,16.06,0.04,,V,NLX,,Ensemble,144,10401FZM," 	Mags ave 3 measures ",0,1.19,Z,,14.43,,SN 2013E,AAVSO,STD,,,,
2456365.134178,16.122,0.092,,V,HKEB,,ENSEMBLE,000-BKV-513,10403OWK,477,1,1.101,Z,,13.202,,SN 2013E,AAVSO,STD,,,,
2456367.125694,16.199,0.029,,V,HKEB,,ENSEMBLE,000-BKV-513,10403OWK,477,1,1.093,Z,,13.226,,SN 2013E,AAVSO,STD,,,,
2456369.163125,16.545,0.112,,V,HKEB,,ENSEMBLE,000-BKV-513,10403OWK,477,1,1.242,Z,,13.203,,SN 2013E,AAVSO,STD,,,,
2456370.197971,17.15,0.07,,B,NLX,,Ensemble,144,10401FZM," 	Mag median sum 4x120s. Ap 5/24/34 1px=1.1&quot; ",0,1.55,Z,,15.07,,SN 2013E,AAVSO,STD,,,,
