ug,gr,gi,gz,petroRad_i,petroR50_i,deVAB_i
2.481123,0.6219654,1.58161,1.69931,4.566391,1.642681,0.8077535
1.383911,1.045071,1.928585,2.356878,2.597187,1.127686,0.5997822
0.1337376,0.9157028,1.763372,2.165083,7.358749,1.565519,0.4511109
1.772022,1.453163,2.327063,2.792343,1.796158,1.029633,0.478325
3.039656,1.567221,2.477737,3.045898,3.094074,1.5424,0.6023505
0.5847607,0.9838371,1.881899,2.117245,3.395588,1.59852,0.4755263
1.253635,1.289589,2.277475,2.81719,26.21759,2.294394,0.3985966
1.906759,1.635496,2.200043,2.620583,4.143144,1.597491,0.7177514
2.807673,1.595215,2.272772,2.723196,3.136904,1.267965,0.7500371
2.00046,1.7596,2.397676,2.819855,2.524051,1.206106,0.5932829
1.087965,0.4041042,0.6868515,0.7880249,5.397429,2.534373,0.5496511
3.281137,2.132647,3.168531,3.605503,3.622058,1.503932,0.7277687
2.08823,0.7540627,1.166536,1.505934,4.877139,2.190423,0.2343601
1.411638,0.8596249,1.293116,1.56514,5.69151,2.755455,0.4560601
1.405416,0.7712955,1.265402,1.509834,3.663491,1.53094,0.6762267
1.021305,1.283655,2.122311,2.506491,2.290351,0.9515668,0.4981995
1.410837,1.68664,2.362244,2.769812,3.85506,1.826775,0.7833913
1.298122,1.601151,2.392136,2.790884,1.740071,0.8686142,0.4178404
1.643597,1.474188,2.517799,3.061295,2.084925,0.9338113,0.8285728
2.566545,1.884726,2.827538,3.210207,5.355302,1.246691,0.8058878
1.876823,0.8911953,1.29829,1.587627,3.731203,1.651477,0.8658618
1.804665,0.9076576,1.305138,1.643872,3.193734,1.418605,0.8707286
1.892481,0.9361858,1.343472,1.681615,6.334588,2.461042,0.7310083
0.7180862,0.3699799,0.727829,0.7466526,2.124865,1.102487,0.4757179
1.841755,0.943634,1.346568,1.699828,5.474565,2.238899,0.85085
1.336935,1.386787,2.219315,2.4832,2.362923,1.02347,0.601622
0.4786243,1.669949,2.627655,3.039265,2.428757,1.064785,0.9964244
1.429806,1.746597,2.550068,2.989065,2.900081,1.225346,0.5379734
2.769526,1.852768,2.832722,3.429886,6.644704,1.422375,0.8167
3.539061,1.698639,2.6507,2.885323,2.250826,0.9285007,0.714008
1.807081,1.481808,2.294268,2.735939,4.536634,1.854402,0.5002952
2.514883,1.665312,2.694769,3.188745,3.013811,1.426739,0.6790267
